title,price,price_unit,area,area_unit,district,city,bedroom,bathroom,news_type,posted_date,expired_date,seller,total_posts,url,zalo_url
"Khai trương tòa nhà mới chính chủ cho thuê phòng full nội thất Võ Chí Công, Cầu Giấy giá 3,5 tr",4.2,triệu/tháng,20,m²,Cầu Giấy,Hà Nội,1,1, VIP Vàng,2026-01-05,2026-01-20,Nguyễn Dương,2,https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-duong-vo-chi-cong-phuong-nghia-do-1/khai-truong-toa-moi-nh-chu-cho-tai-45-36-cau-giay-ha-noi-pr44960555,https://zalo.me/90aCXMp7ymYIRlBc6L9kWQemY9_jHFVwspiCYVhYsUIxwDrfhdM
"Tôi cho thuê căn hộ khép kín, gác xép có thang máy, đối diện bến xe Yên Nghĩa, Hà Đông. Giá 4 tr/th",4.0,triệu/tháng,30,m²,Hà Đông,Hà Nội,,1, VIP Bạc,2026-01-07,2026-01-14,Anh Năm,11,https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-duong-quoc-lo-6-phuong-yen-nghia-1/chinh-chu-cho-can-ho-khep-kin-co-gac-xep-co-thang-may-gia-4-trieu-thang-pr39360523,https://zalo.me/PODRpUW75Va-4S1PAZ_48V1AWFCREttSQuSYS2Xa950clGWquqA
"Cho thuê phòng trọ tại KĐT Geleximco Lê Trọng Tấn - Dương Nội - Hà Nội. Giá 3.5-4.3tr/th, full đồ",3.5,triệu/tháng,20,m²,Hà Đông,Hà Nội,1,1, VIP Bạc,2026-01-07,2026-01-14,,,https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-duong-le-trong-tan-phuong-duong-noi-prj-khu-do-thi-geleximco-le-trong-tan/cho-tai-kdt-geximco-ng-ha-gia-3-5-4-3tr-th-full-do-pr44527767,https://zalo.me/cVvAJs7l0CLQBdWN035ZNW0AyovrqDYH6CMG_0wLiizmhq1QLs0
"Ngõ 97 Phố Chính Kinh, chung cư full đồ, đầy đủ PCCC, gần rất nhiều trường đại học (NV, TN... )",3.5,triệu/tháng,20,m²,Thanh Xuân,Hà Nội,1,1, VIP Bạc,2026-01-07,2026-01-17,[email protected],2,https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-pho-chinh-kinh-phuong-nhan-chinh/cho-khep-kin-cuc-nhieu-tien-ich-ngay-ga-thuong-dinh-pr37833585,https://zalo.me/6OkiUJX9twVa_6Wi3eTqnyYEfpbPH4niduBJ6sKXYFKbS2ZFBfs
Cho thuê phòng trọ cao cấp tại phố Lê Trọng Tấn,5.0,triệu/tháng,25,m²,Thanh Xuân,Hà Nội,,, VIP Bạc,2026-01-07,2026-01-14,Mr Lam,,https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-duong-le-trong-tan-phuong-khuong-mai/cho-cao-cap-tai-pho-ng-tan-pr44974708,https://zalo.me/Bs2PpeTJZtXORroba-W8i9iQHeDZUrVe3P3x-NDe7MDwOAWgjjs
"Chính chủ cho thuê phòng khép kín, sạch sẽ, thoáng mát, an toàn, tại Quan Nhân, Thanh Xuân",3.7,triệu/tháng,25,m²,Thanh Xuân,Hà Nội,,, VIP Bạc,2026-01-07,2026-01-14,User3863893,,https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-pho-quan-nhan-phuong-nhan-chinh/-chu-cho-khep-kin-sach-se-thoang-mat-an-toan-tai-thanh-xuan-pr43537170,https://zalo.me/D0FluVQVIC8yo1hM_PJ3iihDMXCMkSpSdgKZjYDn-u3v996dgRY
"Cho thuê 1PN, 3,5 triệu, 20m2 tại K2, Cầu Diễn, Nam Từ Liêm, Hà Nội",3.5,triệu/tháng,20,m²,Nam Từ Liêm,Hà Nội,1,1, VIP Bạc,2026-01-07,2026-01-14,Lê Yến,3,https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-duong-k2-phuong-cau-dien/cho-1pn-3-5-trieu-20m2-tai-nam-tu-liem-ha-noi-pr44139615,https://zalo.me/yqW9bSrV9yELXNJs0_v2uEB6lulDnhZ9bmvoIFBZZsaB8xk5vEI
"Chính chủ cho thuê nhà ở 2 phòng ngủ, vệ sinh khép kín",5.5,triệu/tháng,40,m²,Đống Đa,Hà Nội,2,1, VIP Bạc,2026-01-08,2026-01-15,Luu Tien Hung,2,https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-pho-ton-duc-thang-phuong-hang-bot-1/chinh-chu-cho-o-2-ngu-ve-sinh-khep-kin-pr44983013,https://zalo.me/hWtAvLhuaXBwR-6-2NE5gWKh63UoW2KkbSYJhsK_8oG7VOGRxI4
"Chính chủ cho thuê phòng khép kín full đồ điều hòa bình nóng riẻng biêt không chung chủ giá 2,8tr",2.8,triệu/tháng,25,m²,Hoàng Mai,Hà Nội,1,1, VIP Bạc,2026-01-08,2026-01-14,Thu Hương,2,https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-duong-dinh-cong-ha-phuong-dinh-cong/chinh-chu-cho-khep-kin-full-dieu-hoa-binh-nong-gio-giac-tu-do-khong-chung-chu-gia-2-8tr-pr44829061,https://zalo.me/BI2i-enNg3-gDNtxQexSP89b_IjKUIjMeRvUjp0gglX-XO6bstc
"Cho thuê phòng trọ đường Hà Huy Tập, đối diện ga Yên Viên, Gia Lâm, Hà Nội. 1,3 triệu/tháng",1.3,triệu/tháng,30,m²,Gia Lâm,Hà Nội,1,1, VIP Bạc,2026-01-09,2026-01-16,Hieu,6,https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-duong-ha-huy-tap-xa-phu-dong-1/cho-doi-dien-ga-yen-vien-gia-lam-noi-1-3-trieu-tng-pr44988234,https://zalo.me/sEbRYPOB_JyEAOOfGp8_quscFdl4OXYPBxtUDCifP4xcwqYYjvM
